SessionID,UserID,UserName,StepIndex,InteractionType,ObjectName,RelativeTime,StartTime,EndTime,Duration,InteractionInterval,ObjectPosX,ObjectPosY,ObjectPosZ,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW,GazeDirX,GazeDirY,GazeDirZ,DistanceToObject,HeadVelocity,LeftHandVelocity,RightHandVelocity,SpeedTier
2772,13,Sundas,0,GazeExit,Eyetarget9,0,-0.266464,0,0.266464,0,0.6,1.65,1.52,-0.026555,1.654982,-0.159414,0.012381,0.184168,-0.031448,0.982314,0,0,0,0,0,0,1,0.194711,-0.220746,0.184679,-0.753854,0.252221,0.367078,0.483055,0.361043,-0.035907,0.931858,1.792492,5.128066,16.63095,25.2101,fast
2772,13,Sundas,1,GazeExit,Eyetarget9,1.167114,0.099838,1.167114,1.067276,0,0.6,1.65,1.52,-0.032075,1.653674,-0.156531,0.011777,0.186857,-0.025857,0.981976,0,0,0,0,0,0,1,0.213406,-0.209577,0.177558,-0.756542,0.291916,0.368623,0.454474,0.366369,-0.032792,0.929892,1.791728,0.188754,10.30785,0.679654,slow
2772,13,Sundas,2,GazeExit,Eyetarget9,1.86702,1.200134,1.86702,0.666885,0.699905,0.6,1.65,1.52,-0.032616,1.6538,-0.159258,0.004145,0.194073,-0.027597,0.98059,0,0,0,0,0,0,1,0.212246,-0.209743,0.17316,-0.766626,0.299086,0.356631,0.442319,0.380383,-0.018841,0.924637,1.79447,0.08267,10.33454,0.135224,slow
2772,13,Sundas,3,GazeExit,Eyetarget9,3.00032,2.000458,3.00032,0.999863,1.133301,0.6,1.65,1.52,-0.039557,1.659001,-0.163043,-0.017112,0.157626,-0.024632,0.987043,0,0,0,0,0,0,1,0.210182,-0.209092,0.169208,-0.772551,0.303285,0.345813,0.437717,0.31201,0.026016,0.949723,1.800485,0.288651,10.52333,0.137449,slow
2772,13,Sundas,4,GazeExit,EyeTarget10,5.90065,5.43338,5.90065,0.46727,2.90033,0.23,2.02,1.52,-0.049286,1.66792,-0.1889,-0.098838,0.057989,-0.042756,0.992492,-0.162976,-0.205665,0.249822,0.446378,-0.042011,0.691698,-0.566159,0.098205,-0.128671,0.10854,-0.924234,0.12317,0.198713,0.301884,0.123559,0.191234,0.973737,1.767003,0.87134,11.45891,4.520813,medium
2772,13,Sundas,5,GazeExit,EyeTarget10,7.169296,7.000809,7.169296,0.168488,1.268646,0.23,2.02,1.52,-0.048793,1.66643,-0.184477,-0.09139,0.063096,-0.039154,0.993043,0.010935,-0.174539,0.094383,-0.923494,0.164048,-0.27957,0.205154,0.123307,-0.139088,0.111469,-0.923826,0.183942,0.184743,0.280324,0.132471,0.176567,0.975334,1.762946,0.143948,3.054873,0.83839,slow
2772,13,Sundas,6,GazeExit,EyeTarget10,7.733444,7.367279,7.733444,0.366165,0.564148,0.23,2.02,1.52,-0.047783,1.665723,-0.184374,-0.087639,0.070971,-0.039492,0.992836,-0.041206,-0.033213,0.05059,-0.923494,0.164048,-0.27957,0.205154,0.126763,-0.148778,0.106513,-0.906597,0.163714,0.221801,0.319506,0.147847,0.168417,0.974565,1.762829,0.036766,6.087948,0.339309,slow
2772,13,Sundas,7,GazeExit,EyeTarget10,7.933609,7.83403,7.933609,0.099579,0.200165,0.23,2.02,1.52,-0.048474,1.665753,-0.184994,-0.087235,0.072909,-0.039493,0.992731,-0.06668,-0.052806,0.08432,-0.923494,0.164048,-0.27957,0.205154,0.126735,-0.148215,0.105157,-0.908413,0.165622,0.216869,0.316739,0.151648,0.167443,0.974149,1.763531,0.027791,6.498106,0.043965,slow
2772,13,Sundas,8,GazeExit,EyeTarget10,8.00032,7.967102,8.00032,0.033218,0.066711,0.23,2.02,1.52,-0.048506,1.665911,-0.185261,-0.086914,0.072917,-0.038546,0.992796,-0.107971,-0.079731,0.143852,0.694644,0.007991,0.702216,-0.155879,0.127204,-0.148763,0.102869,-0.909186,0.165767,0.205546,0.321952,0.151483,0.166954,0.974258,1.763763,0.0094,7.452542,0.072224,slow
2772,13,Sundas,9,GazeExit,EyeTarget10,22.39915,22.33333,22.39915,0.065826,14.39883,0.23,2.02,1.52,0.010617,1.663964,-0.111934,-0.092749,0.049739,-0.017872,0.994286,0,0,0,0,0,0,1,0.174258,-0.078392,0.203242,-0.87818,0.226241,0.216774,0.36142,0.102225,0.18266,0.977847,1.684665,2.850677,6.690475,3.972961,fast
2772,13,Sundas,10,GazeExit,EyeTarget8,40.56705,40.40044,40.56705,0.166611,18.16789,0.5,1.21,1.52,0.077585,1.617111,-0.075593,0.135636,0.129423,-0.067389,0.979955,0,0,0,0,0,0,1,0.258256,-0.266346,0.139317,-0.823401,0.172732,0.258483,0.474722,0.235376,-0.283278,0.929705,1.700027,2.712867,8.460853,6.538111,fast
2772,13,Sundas,11,GazeExit,EyeTarget7,42.00038,41.76724,42.00038,0.233139,1.433334,0.19,0.92,1.52,0.070396,1.596677,-0.04846,0.216029,0.038287,-0.048457,0.974432,0,0,0,0,0,0,1,0.264696,-0.286437,0.150803,-0.789693,0.130731,0.293456,0.522665,0.05368,-0.424722,0.903731,1.712385,1.066913,12.17767,0.738185,medium
2772,13,Sundas,12,GazeExit,EyeTarget6,47.7007,47.60165,47.7007,0.099045,5.700317,-0.36,0.81,1.52,0.178478,1.593653,0.037869,0.233806,-0.180953,0.008399,0.955259,0,0,0,0,0,0,1,0.398647,-0.284688,0.250167,-0.797594,0.088435,0.197548,0.563025,-0.341786,-0.44973,0.825182,1.760903,4.184407,12.64617,5.044247,fast
2772,13,Sundas,13,GazeExit,EyeTarget1,78.6328,78.49979,78.6328,0.133011,30.9321,-0.37,2.16,1.52,0.073253,1.645827,-0.024956,-0.149641,-0.149789,0.008266,0.977294,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.295249,0.29001,0.910342,1.687524,3.991648,16.48372,16.48372,fast
2772,13,Sundas,14,GazeExit,EyeTarget1,79.26604,78.80038,79.26604,0.465653,0.63324,-0.37,2.16,1.52,0.076923,1.647405,-0.03422,-0.153224,-0.152184,0.005655,0.976387,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.298913,0.29749,0.906725,1.696494,0.304562,0,0,slow
2772,13,Sundas,15,GazeExit,EyeTarget3,88.30022,88.09946,88.30022,0.20076,9.03418,-1.24,1.73,1.52,0.098884,1.637405,0.096641,-0.021221,-0.359293,0.0311,0.932465,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.671376,0.017228,0.740916,1.956307,3.940233,0,0,fast
2772,13,Sundas,16,GazeExit,Eyetarget4,90.99957,90.8656,90.99957,0.133972,2.699356,-1.25,1.25,1.52,0.287806,1.626047,0.29905,0.076069,-0.427921,0.012486,0.900523,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.768805,-0.147689,0.622195,1.999244,8.299001,0,0,fast
2772,13,Sundas,17,GazeExit,Eyetarget4,91.26732,91.23294,91.26732,0.034378,0.267746,-1.25,1.25,1.52,0.286896,1.626464,0.306299,0.080097,-0.43574,0.014805,0.896379,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.778805,-0.156496,0.607431,1.994203,0.212939,0,0,slow
2772,13,Sundas,18,GazeExit,Eyetarget4,91.63298,91.4668,91.63298,0.166184,0.365662,-1.25,1.25,1.52,0.282597,1.615284,0.321656,0.11921,-0.430467,0.023342,0.894395,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.764449,-0.233337,0.600975,1.979473,0.595871,0,0,medium
2772,13,Sundas,19,GazeExit,EyeTarget5,93.46613,93.23303,93.46613,0.233093,1.833145,-0.87,0.94,1.52,0.27937,1.598135,0.33796,0.181553,-0.382509,0.049362,0.904593,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.674107,-0.366226,0.64145,1.775222,0.720763,0,0,medium
2772,13,Sundas,20,GazeExit,EyeTarget5,93.80013,93.59952,93.80013,0.200607,0.334,-0.87,0.94,1.52,0.280992,1.594793,0.342772,0.196508,-0.375851,0.051563,0.904136,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.659375,-0.3941,0.640242,1.771836,0.181158,0,0,slow
2772,13,Sundas,21,GazeExit,EyeTarget6,94.96709,94.90027,94.96709,0.066818,1.166962,-0.36,0.81,1.52,0.2877,1.589711,0.361077,0.226337,-0.268744,0.059865,0.934326,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.47509,-0.455122,0.753097,1.539665,0.594782,0,0,medium
2772,13,Sundas,22,GazeExit,EyeTarget7,96.86697,96.4662,96.86697,0.400772,1.899887,0.19,0.92,1.52,0.052679,1.593369,0.070277,0.22298,0.021437,0.013935,0.974488,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.047994,-0.433985,0.899641,1.604363,11.01601,0,0,fast
2772,13,Sundas,23,GazeExit,EyeTarget7,98.9994,98.96706,98.9994,0.032349,2.132431,0.19,0.92,1.52,0.053775,1.601256,0.066457,0.201791,0.0542,0.013793,0.977831,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.111564,-0.393139,0.912686,1.611042,0.273127,0,0,slow
2772,13,Sundas,24,GazeExit,EyeTarget8,100.1673,100.1001,100.1673,0.0672,1.167862,0.5,1.21,1.52,0.063999,1.614298,0.067917,0.121631,0.122907,0.013222,0.984848,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.245305,-0.236326,0.9402,1.569107,0.489842,0,0,medium
2772,13,Sundas,25,GazeExit,EyeTarget2,104.2334,104.1002,104.2334,0.133209,4.066132,-0.87,2.07,1.52,-0.000604,1.654876,-0.00027,-0.131985,-0.271765,0.015152,0.95315,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.522065,0.243368,0.817447,1.799833,3.079415,0,0,fast
2772,13,Sundas,26,GazeExit,EyeTarget6,111.7338,111.6667,111.7338,0.067108,7.500427,-0.36,0.81,1.52,0.059103,1.602112,-0.172517,0.227378,-0.099368,-0.010633,0.968665,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.197344,-0.438394,0.87685,1.915125,5.703556,0,0,fast
2772,13,Sundas,27,GazeExit,Eyetarget9,114.3663,113.833,114.3663,0.533295,2.632446,0.6,1.65,1.52,0.194563,1.634526,-0.099643,0.023576,0.111889,0.045272,0.992409,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.224214,-0.036664,0.97385,1.669689,4.846014,0,0,fast
2772,13,Sundas,28,HeadPick,HeadTask,161.7335,161.7335,161.7335,0,47.36722,-2.3,1.7,2,0.143896,1.635796,0.069162,-0.020987,-0.446893,-0.031778,0.893777,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.797511,0.065918,0.599693,3.115267,5.284588,0,0,fast
2772,13,Sundas,29,HeadBurst,HeadTask,161.9664,161.7335,161.9664,0.23288,0.23288,-2.285142,1.620786,2.016737,0.139689,1.636199,0.057445,-0.017941,-0.445987,-0.01066,0.894796,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.797753,0.041615,0.601547,3.117511,0.372364,0,0,slow
2772,13,Sundas,30,HeadBurst,HeadTask,162.1998,161.7335,162.1998,0.466339,0.23346,-2.328242,1.601595,1.958655,0.1357,1.635974,0.052422,-0.015553,-0.451528,-0.008226,0.892084,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.805345,0.035177,0.591761,3.115432,0.190563,0,0,slow
2772,13,Sundas,31,HeadBurst,HeadTask,162.4324,161.7335,162.4324,0.698944,0.232605,-2.30803,1.604451,1.980227,0.134614,1.635651,0.049326,-0.011578,-0.445275,-0.011547,0.895245,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.796993,0.031013,0.603192,3.113818,0.100985,0,0,slow
2772,13,Sundas,32,HeadBurst,HeadTask,162.8331,161.7335,162.8331,1.09964,0.400696,-1.836403,1.57015,2.459924,0.145372,1.636028,0.058037,-0.009925,-0.346183,-0.011907,0.938039,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.649229,0.026864,0.760118,3.114616,0.425721,0,0,medium
2772,13,Sundas,33,HeadBurst,HeadTask,163.2664,161.7335,163.2664,1.532928,0.433289,-1.857247,1.746334,2.428211,0.148084,1.641091,0.046282,-0.042573,-0.357689,-0.01243,0.932787,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.666237,0.088315,0.740492,3.115448,0.3907,0,0,slow
2772,13,Sundas,34,HeadPlace,HeadTarget,184.7679,161.7335,184.7679,23.03436,21.50143,0.82,2.76,2.5,-0.062922,1.657867,-0.302924,-0.201212,0.134116,0.037034,0.969616,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.245178,0.400131,0.883053,3.138571,12.00408,0,0,fast
2772,13,Sundas,35,HeadPick,HeadTask,184.8005,184.8005,184.8005,0,0.032623,0.793938,2.777497,2.475045,-0.062527,1.658411,-0.301847,-0.19988,0.134931,0.037592,0.969757,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.246673,0.397814,0.883683,3.114003,0.038896,0,0,slow
2772,13,Sundas,36,HeadBurst,HeadTask,185.0009,184.7679,185.0009,0.233063,0.20044,0.798949,2.746811,2.488482,-0.061923,1.657332,-0.299293,-0.193573,0.134514,0.035185,0.971184,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.247655,0.385456,0.888871,3.114443,0.08376,0,0,slow
2772,13,Sundas,37,HeadBurst,HeadTask,185.2013,184.7679,185.2013,0.433411,0.200348,0.808294,2.664021,2.519729,-0.061011,1.656784,-0.294226,-0.178655,0.135766,0.034159,0.973901,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.25224,0.357259,0.8993,3.112645,0.151829,0,0,slow
2772,13,Sundas,38,HeadBurst,HeadTask,185.4019,184.7679,185.4019,0.634003,0.200592,0.802451,2.450583,2.59565,-0.060399,1.653156,-0.285691,-0.138126,0.132177,0.033052,0.980999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.2502,0.279741,0.926901,3.111676,0.287511,0,0,slow
2772,13,Sundas,39,HeadBurst,HeadTask,185.8332,184.7679,185.8332,1.065308,0.431305,0.788888,2.124916,2.686176,-0.059046,1.650148,-0.271333,-0.096301,0.128147,0.030628,0.986593,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.246959,0.19787,0.948609,3.113078,0.445474,0,0,medium
2772,13,Sundas,40,HeadBurst,HeadTask,186.2341,184.7679,186.2341,1.466278,0.400971,0.835361,2.164515,2.669288,-0.055841,1.650539,-0.266859,-0.101243,0.135323,0.026245,0.985266,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.261343,0.206605,0.942876,3.111169,0.165774,0,0,slow
2772,13,Sundas,41,HeadPlace,HeadTarget1,190.833,184.8005,190.833,6.032501,4.598846,0.8,1.81,2.5,0.136779,1.641007,-0.508024,-0.048354,0.097107,0.015568,0.993977,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.191539,0.099148,0.976464,3.084904,9.19526,0,0,fast
